Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Severity,Safety_Score,Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric,Accident_ID
9/17/08,17:18,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2,1,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",Minor_Damage_And_Injuries,49.2237443,14,22,71.2853236,0.27211756,78.04,2,31335.4768,3,0.42435208,7570
7/12/12,6:30,"AtlantiCity, New Jersey",Military - U.S. Navy,,Test flight,Dirigible,,,5,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",Minor_Damage_And_Injuries,62.4657534,10,27,72.2880583,0.4239387,84.54,2,26024.7111,2,0.35234997,12128
8/6/13,,"Victoria, British Columbia, Canada",Private,-,,Curtiss seaplane,,,1,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",Significant_Damage_And_Fatalities,63.0593607,13,16,66.3628077,0.3226044,78.86,7,39269.0539,3,0.00336391,2181
9/9/13,18:30,Over the North Sea,Military - German Navy,,,Zeppelin L-1 (airship),,,20,14,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,Significant_Damage_And_Serious_Injuries,48.0821918,11,9,74.7037375,0.33702921,81.79,3,42771.4992,1,0.21172817,5946
10/17/13,10:30,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),,,30,30,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",Significant_Damage_And_Fatalities,26.4840183,13,25,47.9489517,0.54114028,77.16,3,35509.2285,2,0.17688337,9054
3/5/15,1:00,"Tienen, Belgium",Military - German Navy,,,Zeppelin L-8 (airship),,,41,21,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,Minor_Damage_And_Injuries,43.3333333,15,0,73.3363719,0.4329542,78.63,2,29288.4481,1,0.39450482,10947
9/3/15,15:20,"Off Cuxhaven, Germany",Military - German Navy,,,Zeppelin L-10 (airship),,,19,19,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",Highly_Fatal_And_Damaging,22.0091324,15,10,62.8532361,0.31467075,88.04,4,32342.1094,0,0.05887156,4717
7/28/16,,"Near Jambol, Bulgeria",Military - German Army,,,Schutte-Lanz S-L-10 (airship),,,20,20,0,"Crashed near the Black Sea, cause unknown.",Minor_Damage_And_Injuries,24.7031964,18,4,60.8021878,0.54835269,83.48,4,22547.1952,2,0.04041936,8008
9/24/16,1:00,"Billericay, England",Military - German Navy,,,Zeppelin L-32 (airship),,,22,22,0,Shot down by British aircraft crashing in flames.,Highly_Fatal_And_Damaging,54.8401827,5,40,69.2342753,0.33558673,78.24,2,45751.9834,0,0.61918576,8179
10/1/16,23:45,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),,,19,19,0,Shot down in flames by the British 39th Home Defence Squadron.,Significant_Damage_And_Serious_Injuries,52.2374429,6,4,57.4293528,0.46541003,79.56,1,37933.399,1,1.3892955,6324
11/21/16,,"Mainz, Germany",Military - German Army,,,Super Zeppelin (airship),,,28,27,0,Crashed in a storm.,Highly_Fatal_And_Damaging,36.6666667,11,11,80.2187785,0.45278832,81.15,2,31463.5686,2,0.42491151,3789
11/28/16,23:45,"Off West Hartlepool, England",Military - German Navy,,,Zeppelin L-34 (airship),,,20,20,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,Significant_Damage_And_Serious_Injuries,48.1278539,11,2,62.8076573,0.32909556,77.8,3,22570.0304,4,0.11187341,8946
